what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060092493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060096206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060100030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060123433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060127280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060128163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060132546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060133499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060136264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060137243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060150135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060171058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060175807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060179660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060187412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060194281
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1437060194407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060253591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060279514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060311066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060324490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060345267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060368904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060411431
